kitob_id,kitob_nomi,muallif,kategoriya,tavsif,til,nashr_yili,muqova_rasmi_url,kitob_sahifasi_url,pdf_yuklab_olish_url,tur,daraja,sahifalar_soni,reyting,yaratilgan
148026,Ёрғоқ органларининг йирингли-деструктив касалликлари бўлган беморларнинг клиник ва иммунологик хусусиятлари ва даволаш усулларини оптималлаштириш,Раҳимов Фарруҳ Фарҳод ўғли,Tibbiyot va farmasevtika,Тадқиқотнинг  мақсади  ёрғоқ  органларининг  йирингли-деструктив касалликлари бўлган беморларнинг клиник ва иммунологик хусусиятлари ва даволаш усулларини оптималлаштиришдан иборат.,Rus,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148026,https://api.ziyonet.uz/uploads/books/10012852/wGf4azURxQhnD8l.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,52,0.0,20.07.2026
148025,Ikki fazali erituvchi muhitida kalsiy va rux stearatlarni olish texnologiyasini ishlab chiqish va qo’llash,Yaxshikulov Iskandar Safarovich,Texnika va texnologiyalar,Tadqiqotning  maqsadi:  ikki  fazali  erituvchi  muhitida  kalsiy  va  rux stearatlarni  olishning  iqtisodiy  samarador  texnologiyasini  ishlab  chiqish  va qoʻllashdan iborat.,O'zbek,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148025,https://api.ziyonet.uz/uploads/books/10012852/3AmIdUvkb9Tm0kK.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,52,0.0,20.07.2026
148024,Beton qorishmalari uchun polikarboksilat superplastifikatorini ishlab va qo‘llash.,Ismailov Feruz Sabirovich,Texnika va texnologiyalar,"Tadqiqotning  maqsadi  polikarboksilat  superplastifikatorini  sintez  qilish, superplastifikatorini olish texnologiyasini ishlab chiqish va sement-qorishmalarida qo’llashdan iborat.",O'zbek,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148024,https://api.ziyonet.uz/uploads/books/10012852/wmYjKTeZNb6BIxp.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,52,0.0,20.07.2026
148023,Suv chiqarish inshootlari byeflari tutashishida oqim energiyasini so‘ndirishni ilmiy va eksperimental asoslash,Norqulov Bahodir Musulmanovich,Texnika va texnologiyalar,Tadqiqotning  maqsadi  suv  chiqarish  inshootlari  byeflari  tutashishida  oqim energiyasini so‘ndirishni ilmiy va eksperimental asoslashdan iborat.,O'zbek,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148023,https://api.ziyonet.uz/uploads/books/10012852/nLKEebhEwraMNLe.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,52,0.0,20.07.2026
148022,Бетон билан қопланган ўзанларнинг гидравлик қаршилиги ва ўтказувчанлик қобилияти,Салимбаева Иқболой Дильшод Қизи,Texnika va texnologiyalar,Тадқиқотнинг  мақсади:  Ўзани  бетон  билан  қопланган  каналларнинг гидравлик қаршилиги ва ўтказувчанлик қобилияти инобатга олиб баҳолаш.,Rus,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148022,https://api.ziyonet.uz/uploads/books/10012852/UfhjaTurOLexbiB.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,52,0.0,20.07.2026
148021,"Oftalmologik kasalliklarni erta tashxislash va davolashda raqamli texnologiyalar, sun’iy intellekt hamda teleoftalmologiyaning klinik-amaliy ahamiyati","Yu.Dj.Parmankulova, B.Z.Umarova, B.B.G‘ulomidinov",Tibbiyot va farmasevtika,"Ushbu monografiyada oftalmologik kasalliklarni erta aniqlash, klinik kuzatuv va davolashni rejalashtirishda raqamli texnologiyalar, sun’iy intellekt hamda teleoftalmologiya yondashuvlarining klinik-amaliy ahamiyati tizimli tahlil qilingan. Fundus fotografiya, optik kogerent tomografiya, optik kogerent tomografik angiografiya, raqamli perimetriya, elektron tibbiy karta, bulutli arxiv va klinik qarorlarni qo‘llab-quvvatlash tizimlari oftalmologik amaliyotning muhim elementlari sifatida ko‘rib chiqilgan.",O'zbek,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148021,https://api.ziyonet.uz/uploads/books/10003819/9VGkMQBoWSNNaNJ.pdf,Monografiya,Oliy ta‘lim,113,0.0,20.07.2026
148020,Qurilishda kichik va yirik biznes subyektlari integratsiyasi samaradorligini oshirishning metodologik asoslari,Axmedova Nilufar Shuxratovna,Iqtisod va boshqaruv,Tadqiqotning  maqsadi  Qurilish  sohasida  kichik  va  yirik  biznes  subyektlari integratsiyasi  samaradorligini  oshirishning  nazariy-uslubiy  asoslarini takomillashtirishdan iborat.,O'zbek,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148020,https://api.ziyonet.uz/uploads/books/10012852/oqh22EBIIHXxonA.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,52,0.0,20.07.2026
148019,Kiberzoʻravonlikka qarshi kiberxavfsizlikni taʼminlashning mafkuraviy ahamiyati.,Usmonov Saidikromxoʻja Saidaliyevich,Falsafa,"Tadqiqotning  maqsadi  kiberzoʻravonlik  va  kiberxavfsizlik  gʻoyalarining shakllanishi,  rivojlanish  qonuniyatlari,  ularning  jamiyat  maʼnaviy  hayoti  va mafkuraviy  jarayonlariga  taʼsirini,  kiber  makonda  shaxs  va  jamiyat  xavfsizligini taʼminlashning  mafkuraviy  asoslarini  ochib  berish  va  samarali  profilaktika mexanizmlarini ishlab chiqishdan iborat.",O'zbek,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148019,https://api.ziyonet.uz/uploads/books/10005547/Ajh7xfwtoIbkVfv.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,52,0.0,20.07.2026
148018,Oʻzbek texnik terminlarini standartlashtirish va yagona terminologik bazasini yaratishning ilmiy-amaliy asoslari,Xashimova Xurshida Djuraxanovna,Filologiya,"Tadqiqotning  maqsadi  oʻzbek  texnik  terminologiyasini  ilmiy  asosda standartlashtirish,  terminlarni  yagona  mezonlar  tizimi  asosida  tartibga  solish bo‘yicha  tavsiyalar  berish  hamda  zamonaviy  axborot-texnologik  yondashuvlar asosida  yagona  elektron  terminologik  bazani  yaratishning  nazariy  va  amaliy asoslarini ishlab chiqishdan iborat.",O'zbek,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148018,https://api.ziyonet.uz/uploads/books/10005547/3lwmTkj2DpFnFix.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,52,0.0,20.07.2026
148017,Toshkent viloyati baliqchilik xo‘jaliklarida yetishtirilayotgan baliq mahsulotlari (tirik baliq) xavfsizligiga ekologik omillarning ta‘sirini baholash.,Titova Natalya Olegovna,Biologiya,Tadqiqotning maqsadi. Karpsimon baliqlarni yetishtirishda ekologik omillar va texnologiyalarning  ularning  hayotiy  jarayonlariga  ta‘sirini  baholash  hamda yetishtirilayotgan baliq mahsulotlari (tirik baliq) xavfsizligini ta‘minlashdan iborat.,O'zbek,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148017,https://api.ziyonet.uz/uploads/books/10005547/2EKpLzwURAkFzQw.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,52,0.0,20.07.2026
148016,G. Hirsutum L. genotipida xo'jalik belgilari bo'yicha populyatsiya tarkibining gomeostazligini saqlash va joriy etish,Abdurasulov Shuxrat Ergashevich,Biologiya,"G'o'zaning  G.  hirsutum  L.  turichi  chatishtirishlardan olingan tizmasida muhim xo'jalik belgilarining paydo bo'lishida genotip × muhit (G×Y)  ta‘siri  hamda  korrelyatsiyasini  aniqlash  va  populyatsion  tahlil  asosida yaratilgan  yangi  genotipda  xo'jalik  ko'rsatkichlarining  gomeostazligini  saqlash, shuningdek  barqarorligi  irsiy  ta‘minlangan  urug'lik  chigitlarini  yetishtirish  va ishlab chiqarishga tadbiq qilishdan iborat.",O'zbek,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148016,https://api.ziyonet.uz/uploads/books/10005547/SDRHCcPPPRgAz5t.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,52,0.0,20.07.2026
148015,"Shimoliy-sharqiy O‘zbekistonning Puccinia (Pucciniaceae) turlari (taksonomiyasi, filogeniyasi va bioekologiyasi)",O‘rinboyev Islomjon Yunusаli o‘g‘li,Biologiya,"Tadqiqotning  maqsadi:  shimoliy-sharqiy O‘zbekistonda tarqalgan  yuksak o‘simliklarda  uchraydigan  Puccinia  turlarini  aniqlash,  taksonomik  tahlil  qilish, bioekologiyasi, filogeniyasi va filogenetik daraxtini ishlab chiqishdan iborat.",O'zbek,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148015,https://api.ziyonet.uz/uploads/books/10005547/BrERKlJejIZFcAh.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,52,0.0,20.07.2026
148014,Fermionli Fok fazodagi uchinchi tartibli operatorli matritsa muhim spektrining tahlili,Ismoilova Dildora Erkinovna,Tabiiy-ilmiy,Tadqiqotning  maqsadi  panjaradagi  soni  saqlanmaydigan  va  uchtadan oshmaydigan zarrachalar (fermionlar) sistemasiga mos uchinchi tartibli operatorli matritsa  muhim  spektrining  tuzilishini  aniqlash  va  uning  muhim  spektrdan tashqarida joylashgan xos qiymatlarini birinchi Shur to‘ldiruvchisi yordamida tahlil qilishdan iborat.,O'zbek,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148014,https://api.ziyonet.uz/uploads/books/10005547/baz8sKT0vAjeowc.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,52,0.0,20.07.2026
148013,Polifenilensulfidlar asosida ugleplastlar olish texnologiyasini ishlab chiqish va ularni qo‘llash,Sultonov Oybek Komiljonovich,Texnika va texnologiyalar,"Tadqiqotning  maqsadi  polifenilensulfid  bilan  PAN  tolasi  asosida  yuqori haroratga  barqaror  va  fizik  mexanik  xossalari  yuqori,  ugleplast  olish texnologiyasini ishlab chiqishdan iborat.",O'zbek,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148013,https://api.ziyonet.uz/uploads/books/10005547/REYckd3SHmYcrdP.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,52,0.0,20.07.2026
148012,Imom Ismoil al-Buxoriyning ma’naviy-axloqiy qarashlaridan pedagogik jarayonda foydalanish,Saidnazarova Gulshan Bolta qizi,Pedagogika,"Tadqiqotning maqsadi Imom Ismoil al-Buxoriyning ma’naviy-axloqiy qarashlarini o‘rganish, ularning tarbiyaviy va pedagogik ahamiyatini ochib berish hamda ularni ta’lim-tarbiya jarayonida samarali qo‘llash yo‘llarini takomillashtirishdan iborat.",O'zbek,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148012,https://api.ziyonet.uz/uploads/books/10009804/n0QTrZKyu1WfwZc.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,52,0.0,20.07.2026
148011,Tijorat banklari nodepozit moliyaviy resurslarini optimallashtirish,Tangirkulov Bekzod Boxadirovich,Iqtisod va boshqaruv,Tadqiqotning  maqsadi.  Tijorat  banklari  nodepozit  moliyaviy  resurslarini optimallashtirishning nazariy-uslubiy asoslari hamda banklarning kreditlash faoliyatini amalga oshirish uchun zarur resurslarni shakllantirish va boshqarishga qaratilgan taklif va tavsiyalar ishlab chiqishdan iborat.,O'zbek,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148011,https://api.ziyonet.uz/uploads/books/10005547/ZoFxBbkLHvt1HqL.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,52,0.0,20.07.2026
148010,Корхоналарда рискка асосланган ички аудит ўтказишни такомиллаштириш,Асфандиёрова Шакина Рустам қизи,Iqtisod va boshqaruv,Тадқиқот мақсади корхоналарда рискка асосланган ички аудит ўтказишни такомиллаштириш бўйича илмий таклиф ва амалий тавсиялар ишлаб чиқишдан иборат.,Rus,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148010,https://api.ziyonet.uz/uploads/books/10005547/84daItbciHocqzI.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,52,0.0,20.07.2026
148009,"Suyuq shishani modifikatsiyalab olovbardosh kompozitsiyalarning olinishi, xossalari va texnologiyasi.",Kamolova Zaynura Mehriddin qizi,Texnika va texnologiyalar,"Tadqiqotning  maqsadi  suyuq  shishani  modifikatsiyalab  olovbardosh kompozitsiyalarning olinishi, xossalari va texnologiyasini ishlab chiqishdan iborat.",O'zbek,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148009,https://api.ziyonet.uz/uploads/books/10005547/BB2JJkJ2VUNaAe6.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,52,0.0,20.07.2026
148008,O‘zbekistonda oila institutidagi ijtimoiy o‘zgarishlar,Rahmatova Nargiza Akbar qizi,Falsafa,Tadqiqotning  maqsadi  globallashuv  sharoitida  oila  instituti  xarakteridagi oʻzgarishlarning ijtimoiy-falsafiy xususiyatlarini ochib berishdan iborat.,O'zbek,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148008,https://api.ziyonet.uz/uploads/books/10005547/syGRzwKjCuPF096.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,52,0.0,20.07.2026
148007,Tezlatgich majmualarida keltirilgan radioaktivlik va xodimlarning doza yuklamalari,Xasanov Shaxboz Xasanovich,Fizika,Tadqiqotning maqsadi tezlatgich qurilmalari ish rejimlarida yuzaga keladigan radioaktivlik va doza yuklamalarini tahlil qilish asosida xodimlarning radiatsion xavfsizligini kompleks baholash va optimallashtirishdan iborat.,O'zbek,2026,https://api.ziyonet.uz/uploads/books/1343700/YbyKfpFuH84VX24.jpg,https://library.ziyonet.uz/book/148007,https://api.ziyonet.uz/uploads/books/1343700/fI0lPjGh0YXpZCt.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,58,0.0,20.07.2026
148006,Silikat shishada metall oksidlari diffuziyasi,Dexqonov Avazbek Tolibjon O‘g‘li,Fizika,Tadqiqotning maqsadi legirlangan qo‘rg‘oshin silikat shishalarda ruteniy atomlari diffuziyasining elektr o‘tkazuvchanlik hamda termoEYuK koeffitsientiga  ta’sir qilish qonuniyatlarini aniqlashdan iborat.,O'zbek,2026,https://api.ziyonet.uz/uploads/books/1343700/74gOuI2tHza5SzB.jpg,https://library.ziyonet.uz/book/148006,https://api.ziyonet.uz/uploads/books/1343700/XpIA09G5aHsUB9B.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,52,0.0,20.07.2026
148005,Semantic analysis of proverbs with the somatic component “head”,Bobokulova Nilufar Xayrullo kizi,Ingliz tili,"This article presents a comparative analysis of proverbs that incorporate the somatic component “head” in both English and Uzbek languages. The study delves into the semantic nuances and cultural contexts of these proverbs, shedding light on their shared themes and language-specific expressions. Through a detailed examination of well-known proverbs in both languages, the article highlights common lessons related to cooperation, composure, rationality, understanding complexity, and accountability. It also underscores the rich tapestry of idiomatic expressions and linguistic variations that reflect the unique cultural values and linguistic nuances of each language. This cross-linguistic exploration of somatic proverbs provides valuable insights into the universal human experiences and the diverse ways in which different cultures convey similar wisdom through metaphorical language. Researchers, linguists, and anyone interested in cross-cultural communication and linguistic analysis will find this article a valuable resource for understanding the depth of meaning embedded in these idiomatic expressions.",O'zbek,2023,https://api.ziyonet.uz/uploads/books/10013258/FhN3PAIbfSEcPCL.jpg,https://library.ziyonet.uz/book/148005,https://api.ziyonet.uz/uploads/books/10013258/nIRANU7PaaKzhP3.pdf,Maqola,Oliy ta‘lim,3,0.0,20.07.2026
148004,Ультратовуш текширувида аниқланган бачадон касалликларининг морфологик жиҳатларини қиёсий тавсифи,Усаров Мухриддин Шухратович,Tibbiyot va farmasevtika,Ишнинг мақсади: бачадон танаси ва бўйин касалликларида ультратовуш текшируви  натижаларини  морфологик  ва  морфометрик  кўрсаткичлар  билан қиёсий баҳолашдан иборат.,Rus,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148004,https://api.ziyonet.uz/uploads/books/10005547/kOhhKq1EEHz3vZM.pdf,Avtoreferat,Oliy o‘quv yurtidan keyingi ta‘lim,52,0.0,20.07.2026
148003,Harbiy haydovchilarni tayyorlashda innovatsion yondashuvlar (harbiy haydovchilarni ekstremal vaziyatlarga tayyorlovchi imitasion trenajyori misolida),Sharipov Doston Hasan o'g'li,Tabiiy-ilmiy,"Nafaqat dunyoda ro'y berayotgan gibrid xarakterdagi qurolli to'qnashuvlar tahlili, balki mamlakatimiz tarixida yuz bergan qonli to'qnashuvlar (1999-yil 16-fevral, Sarimoy, Andijon, Nukus voqealari va boshqalar) Qurolli Kuchlarimiz jangovar qobiliyatini yanada oshirishni taqozo etmoqda. Shu bois milliy armiyani zamonaviy texnikalar bilan ta'minlash dolzarbligi ham e'tibordan chetda qolmadi.",O'zbek,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148003,https://api.ziyonet.uz/uploads/books/10005547/nuGU4y3f07f17Tv.pdf,Maqola,Oliy ta‘lim,5,0.0,18.07.2026
148002,"Jamoat xavfsizligini ta'minlashda harbiy haydovchilarni ""ekstremal holatlarda avtomashinalarni boshqarish"" moduli asosida kasbiy tayyorgaligini takomillashtirish",Sharipov Doston Hasan o'g'li,Tabiiy-ilmiy,"Bugungi globallashuv davrida jamoat xavfsizligini ta'minlash davlat siyosatining eng ustuvor yo'nalishlaridan biri hisoblanadi. Xavfsizlikni saqlashda harbiy xizmatchilar bilan bir qatorda, harbiy haydovchilarning roli ham alohida ahamiyatga ega.",O'zbek,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148002,https://api.ziyonet.uz/uploads/books/10005547/bmVmKFkbjgfuqb5.pdf,Maqola,Oliy ta‘lim,5,0.0,18.07.2026
148001,Yo'l-transport hodisalarini kamaytirishda kayzen jarayoni asosida ekstremal vaziyatlarda harbiy haydovchilarni kasbiy tayyorlashning yo'nalishlari,Sharipov Doston Hasan o'g'li,Tabiiy-ilmiy,"Ekstremal vaziyatlarda (tabiiy ofatlar, texnogen avariyalar, terrorchilik hurujlari, ommaviy tartibsizliklar va h.k.) jamoat xavfsizligini ta'minlashda harbiy haydovchilarning vazifalari bir vaqtning o'zida yo'l harakati qoidalariga rioya etgan holda texnik, taktik va psixologik yo'nalishlarni qamrab oladi.",O'zbek,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148001,https://api.ziyonet.uz/uploads/books/10005547/sZZ3jO7AFCMY6uZ.pdf,Maqola,Oliy o‘quv yurtidan keyingi ta‘lim,5,0.0,18.07.2026
148000,Harbiy haydovchilarni kasbiy tayyorgarligini takomillashtirishda piyodalar bilan bog'liq yo'l-transport hodisalarini kamaytirishga,Sharipov Doston Hasan o'g'li,Tabiiy-ilmiy,"Keyingi yillarda mamlakatimizda yo'l harakati xavfsizligini ta'minlash tizimini takomillashtirish sohasida muayyan ishlar amalga oshirilmoqda. Lekin shunga qaramay, yo'l-transport hodisalar soni hali ham yuqoriligicha qolyapti.",O'zbek,2026,https://api.ziyonet.uz/images/default/default_cover.png,https://library.ziyonet.uz/book/148000,https://api.ziyonet.uz/uploads/books/10005547/lFc9zioQMn2kcor.pdf,Maqola,Oliy ta‘lim,5,0.0,18.07.2026
